domain,no_tweets,Select
imolaoggi.it,38187,low-credibility
liberoquotidiano.it,25171,low-credibility
byoblu.com,16634,low-credibility
laverita.info,11268,low-credibility
databaseitalia.it,10455,low-credibility
stopcensura.online,6070,low-credibility
ilprimatonazionale.it,5767,low-credibility
renovatio21.com,5134,low-credibility
scenarieconomici.it,4632,low-credibility
dagospia.com,4169,low-credibility
maurizioblondet.it,3590,low-credibility
voxnews.info,3123,low-credibility
lanuovabq.it,3014,low-credibility
comedonchisciotte.org,2884,low-credibility
lantidiplomatico.it,2446,low-credibility
controinformazione.info,1461,low-credibility
corvelva.it,1103,low-credibility
infosannio.com,649,low-credibility
lavocedelpatriota.it,647,low-credibility
nogeoingegneria.com,339,low-credibility
mag24.es,282,low-credibility
disinformazione.it,247,low-credibility
laviadiuscita.net,209,low-credibility
tankerenemy.com,190,low-credibility
essere-informati.it,163,low-credibility
informasalus.it,152,low-credibility
conoscenzealconfine.it,128,low-credibility
mednat.news,82,low-credibility
libreidee.org,80,low-credibility
lettoquotidiano.it,69,low-credibility
lacrunadellago.net,47,low-credibility
segnidalcielo.it,42,low-credibility
silenziefalsita.it,30,low-credibility
lalucedimaria.it,28,low-credibility
sostenitori.info,22,low-credibility
fonteverificata.it,19,low-credibility
autismovaccini.org,12,low-credibility
vivereinmodonaturale.com,11,low-credibility
liberamenteservo.com,9,low-credibility
mednat.org,5,low-credibility
lonesto.it,4,low-credibility
ambientebio.it,3,low-credibility
tg24-ore.com,2,low-credibility
ecplanet.org,2,low-credibility
ilvostropensiero.it,1,low-credibility
jedanews.it,1,low-credibility
jedanews.com,1,low-credibility
corrieredelcorsaro.it,1,low-credibility
catenaumana.it,1,low-credibility
repubblica.it,50878,high-credibility
ansa.it,47432,high-credibility
ilfattoquotidiano.it,44595,high-credibility
corriere.it,41051,high-credibility
iltempo.it,26637,high-credibility
ilgiornale.it,18796,high-credibility
adnkronos.com,18786,high-credibility
huffingtonpost.it,17469,high-credibility
affaritaliani.it,17061,high-credibility
lastampa.it,17027,high-credibility
ilmessaggero.it,16274,high-credibility
ilsole24ore.com,14281,high-credibility
fanpage.it,13427,high-credibility
rainews.it,12148,high-credibility
ilpost.it,10990,high-credibility
ilfoglio.it,10943,high-credibility
agi.it,10928,high-credibility
csera.it,7034,high-credibility
open.online,7018,high-credibility
today.it,4379,high-credibility
avvenire.it,4030,high-credibility
linkiesta.it,3976,high-credibility
ilmattino.it,3560,high-credibility
quotidiano.net,2659,high-credibility
ilgazzettino.it,2515,high-credibility
leggo.it,2118,high-credibility
nanopress.it,51,high-credibility
pagellapolitica.it,2086,FACT_CHECKfact-checking
medicalfacts.it,1576,FACT_CHECKfact-checking
butac.it,861,FACT_CHECKfact-checking
bufale.net,670,FACT_CHECKfact-checking
facta.news,528,FACT_CHECKfact-checking
lavoce.info,219,FACT_CHECKfact-checking
